Date,AAPL,GLD,JNJ,JPM,MSFT,SPY,TLT,XOM
2021-03-12,117.88267517089844,161.49000549316406,138.59385681152344,137.50982666015625,226.2161865234375,367.845703125,116.23455047607422,51.167789459228516
2021-03-15,120.7657241821289,162.1999969482422,139.30592346191406,136.82296752929688,225.31417846679688,370.03936767578125,116.9179458618164,49.863197326660156
2021-03-16,122.30463409423828,162.35000610351562,140.1309051513672,135.1849822998047,228.096923828125,369.5725402832031,116.4480972290039,48.80631637573242
2021-03-17,121.51570892333984,163.50999450683594,139.6098175048828,136.57635498046875,227.45401000976562,370.83282470703125,115.57670593261719,49.020992279052734
2021-03-18,117.39569091796875,162.55999755859375,139.3493194580078,138.8307647705078,221.3895721435547,365.4373474121094,114.40631103515625,46.90724563598633
2021-03-19,116.86973571777344,163.24000549316406,138.97593688964844,136.6204071044922,221.03453063964844,364.7611389160156,115.11538696289062,46.64302444458008
2021-03-22,120.18130493164062,163.0,139.3753662109375,132.9481964111328,226.4464569091797,367.67376708984375,116.40538024902344,46.16412353515625
2021-03-23,119.3534164428711,161.80999755859375,139.24513244628906,131.6184844970703,227.97216796875,364.7798767089844,117.45610809326172,45.594398498535156
2021-03-24,116.96712493896484,162.3699951171875,140.59983825683594,132.63998413085938,225.93788146972656,362.9255065917969,118.0883560180664,46.5191650390625
2021-03-25,117.45410919189453,161.77999877929688,140.65191650390625,134.33958435058594,222.9440460205078,364.9671630859375,117.15714263916016,46.387062072753906
2021-03-26,118.0580062866211,162.24000549316406,143.22232055664062,136.57635498046875,226.9166717529297,370.84869384765625,116.7470932006836,47.650360107421875
2021-03-29,118.23331451416016,160.30999755859375,144.18621826171875,134.45407104492188,225.72679138183594,370.6613464355469,115.756103515625,47.3943977355957
2021-03-30,116.78207397460938,157.57000732421875,143.2917938232422,136.03921508789062,222.47389221191406,369.6780090332031,116.3626480102539,46.80815887451172
2021-03-31,118.97355651855469,159.9600067138672,142.71865844726562,134.0577850341797,226.23538208007812,371.1763610839844,115.71338653564453,46.09807586669922
2021-04-01,119.80146789550781,161.97999572753906,141.3987274169922,135.36114501953125,232.5492401123047,375.1847839355469,117.63389587402344,47.386131286621094
2021-04-05,122.62603759765625,161.9199981689453,141.9197235107422,136.07862854003906,238.9975128173828,380.56976318359375,117.12059783935547,46.651283264160156
2021-04-06,122.92798614501953,163.22000122070312,141.88502502441406,135.12197875976562,237.83641052246094,380.3450622558594,117.91618347167969,46.5191650390625
2021-04-07,124.57402801513672,162.75999450683594,142.07606506347656,137.2390594482422,239.79391479492188,380.7852478027344,117.0949478149414,46.72559356689453
2021-04-08,126.97003936767578,164.50999450683594,141.5203094482422,137.4073486328125,243.0084686279297,382.5927429199219,118.06160736083984,46.23843002319336
2021-04-09,129.54139709472656,163.27000427246094,140.0266876220703,138.4348907470703,245.50332641601562,385.3742370605469,117.63389587402344,46.1310920715332
2021-04-12,127.82718658447266,162.27999877929688,140.36532592773438,138.142578125,245.56089782714844,385.51470947265625,117.58256530761719,45.82559585571289
2021-04-13,130.9342041015625,163.42999267578125,138.4896697998047,136.49493408203125,248.03659057617188,386.6572265625,118.46371459960938,45.998992919921875
2021-04-14,128.5966339111328,162.72000122070312,138.87168884277344,133.94384765625,245.2538604736328,385.3367919921875,118.08729553222656,47.32835006713867
2021-04-15,131.0023956298828,165.35000610351562,139.27987670898438,134.79421997070312,249.00570678710938,389.4762268066406,120.0633773803711,47.047603607177734
2021-04-16,130.67124938964844,166.35000610351562,140.88638305664062,135.79519653320312,250.1956024169922,390.7781066894531,119.13098907470703,46.783390045166016
2021-04-19,131.3335418701172,165.88999938964844,141.27713012695312,135.2193603515625,248.27645874023438,388.858154296875,118.78878784179688,46.634765625
2021-04-20,129.64852905273438,166.47999572753906,144.56829833984375,132.22537231445312,247.8158721923828,386.01104736328125,119.33623504638672,45.65219497680664
2021-04-21,130.02841186523438,168.1300048828125,144.663818359375,133.350341796875,250.0419464111328,389.66357421875,119.5758056640625,46.23843002319336
2021-04-22,128.50897216796875,167.0399932861328,143.43942260742188,130.5422821044922,246.76995849609375,386.1047668457031,120.09761810302734,45.635684967041016
2021-04-23,130.82713317871094,166.39999389648438,143.73464965820312,133.040283203125,250.58901977539062,390.29107666015625,119.8153076171875,45.883392333984375
2021-04-26,131.21665954589844,166.83999633789062,142.5189208984375,133.3680419921875,250.9727325439453,391.1058349609375,119.64419555664062,45.974212646484375
2021-04-27,130.89529418945312,166.4199981689453,141.70263671875,133.979248046875,251.37588500976562,391.02154541015625,118.60060119628906,46.576969146728516
2021-04-28,130.1063232421875,166.91000366210938,140.66058349609375,134.8473358154297,244.2655029296875,390.9091491699219,118.67752838134766,47.98064041137695
2021-04-29,130.00894165039062,166.22000122070312,142.58839416503906,137.4693603515625,242.29840087890625,393.4002685546875,118.32682800292969,48.66596221923828
2021-04-30,128.04147338867188,165.66000366210938,141.3118896484375,136.24693298339844,241.98171997070312,390.81549072265625,118.60060119628906,47.26227951049805
2021-05-03,129.09336853027344,167.80999755859375,143.46546936035156,135.84829711914062,241.67465209960938,391.65838623046875,118.67166900634766,48.566871643066406
2021-05-04,124.52532958984375,166.5800018310547,145.68853759765625,137.7262420654297,237.76930236816406,389.2421875,119.47699737548828,48.87237548828125
2021-05-05,124.76883697509766,167.27000427246094,145.08065795898438,139.53330993652344,236.50265502929688,389.3639221191406,119.67403411865234,50.342105865478516
2021-05-06,126.3662109375,170.05999755859375,145.6624755859375,142.34133911132812,239.63079833984375,392.47308349609375,119.87106323242188,50.82099533081055
2021-05-07,127.03938293457031,171.58999633789062,146.32244873046875,142.82855224609375,242.25039672851562,395.32958984375,119.27993774414062,51.5475959777832
2021-05-10,123.76118469238281,172.11000061035156,147.85948181152344,142.81080627441406,237.1839141845703,391.4148864746094,118.07199096679688,51.67145538330078
2021-05-11,122.8440933227539,172.13999938964844,146.6524200439453,140.43682861328125,236.27235412597656,387.9216003417969,117.40371704101562,50.028343200683594
2021-05-12,119.78055572509766,170.42999267578125,146.0619354248047,139.4713134765625,229.334716796875,379.6800842285156,116.1700668334961,50.296409606933594
2021-05-13,121.92697143554688,171.1300048828125,147.59030151367188,143.05882263183594,233.20176696777344,384.24102783203125,116.34999084472656,49.67649841308594
2021-05-14,124.34658813476562,172.69000244140625,147.81605529785156,145.28221130371094,238.1147003173828,390.14117431640625,117.43798828125,50.90794372558594
2021-05-17,123.19530487060547,174.6999969482422,147.96368408203125,145.86685180664062,235.2648162841797,389.1484069824219,117.1895751953125,52.09749221801758
2021-05-18,121.80989837646484,175.0399932861328,148.0158233642578,143.81178283691406,233.24977111816406,385.7957458496094,116.88977813720703,50.62311553955078
2021-05-19,121.65379333496094,175.16000366210938,147.69447326660156,142.71334838867188,233.82681274414062,384.7842102050781,116.60700225830078,49.40842819213867
2021-05-20,124.20999145507812,175.9600067138672,148.55419921875,142.46534729003906,237.0583953857422,388.9237060546875,117.5665283203125,49.29115295410156
2021-05-21,122.37578582763672,176.0399932861328,148.4586639404297,144.08639526367188,235.79844665527344,388.6052551269531,117.94347381591797,49.358158111572266
2021-05-24,124.00511932373047,176.35000610351562,149.02664184570312,144.86590576171875,241.19398498535156,392.56683349609375,118.38037872314453,49.93619155883789
2021-05-25,123.80998992919922,177.9499969482422,148.61593627929688,143.36886596679688,242.0980987548828,391.69580078125,119.47699737548828,48.805274963378906
2021-05-26,123.76118469238281,177.63999938964844,147.7333984375,143.35118103027344,241.87689208984375,392.47308349609375,119.27135467529297,49.37492752075195
2021-05-27,122.22942352294922,177.7100067138672,147.50621032714844,145.58338928222656,239.78021240234375,392.67919921875,118.79161071777344,49.05659103393555
2021-05-28,121.57574462890625,178.3800048828125,147.89065551757812,145.4859619140625,240.1360626220703,393.38165283203125,118.60316467285156,48.897422790527344
2021-06-01,121.2537841796875,177.89999389648438,144.64016723632812,147.0893096923828,237.9432373046875,393.0350646972656,118.57655334472656,50.648250579833984
2021-06-02,122.01477813720703,178.77000427246094,145.2255859375,147.09812927246094,237.84706115722656,393.6531677246094,118.8510971069336,51.05035400390625
2021-06-03,120.53180694580078,175.27000427246094,145.08578491210938,147.19557189941406,236.31781005859375,392.1921691894531,118.40491485595703,51.251407623291016
2021-06-04,122.82456970214844,177.16000366210938,145.02467346191406,147.43478393554688,241.20358276367188,395.7791442871094,120.02645111083984,51.47758102416992
2021-06-07,122.83433532714844,177.8699951171875,144.03721618652344,146.74383544921875,244.10818481445312,395.39520263671875,119.65756225585938,51.14249038696289
2021-06-08,123.65386962890625,177.32000732421875,142.77023315429688,146.15919494628906,242.91558837890625,395.4794616699219,120.49829864501953,52.047237396240234
2021-06-09,124.03437042236328,176.97999572753906,144.69256591796875,144.3344268798828,243.8966064453125,394.8894348144531,121.56217956542969,52.48283767700195
2021-06-10,123.03921508789062,177.74000549316406,145.99452209472656,142.08445739746094,247.4070587158203,396.72503662109375,122.29138946533203,52.56660842895508
2021-06-11,124.24901580810547,175.74000549316406,144.14210510253906,141.9869842529297,248.03228759765625,397.3806457519531,122.09414672851562,52.08073425292969
2021-06-14,127.30279541015625,174.7100067138672,144.5003662109375,139.5775909423828,249.9557647705078,398.2702941894531,121.15897369384766,51.99696731567383
2021-06-15,126.4832534790039,174.0500030517578,143.73141479492188,137.46051025390625,248.4842529296875,397.53985595703125,121.01313018798828,53.89021301269531
2021-06-16,126.9808578491211,171.11000061035156,143.67897033691406,138.42605590820312,247.541748046875,395.3201904296875,120.91010284423828,53.697532653808594
2021-06-17,128.58091735839844,165.85000610351562,144.36929321289062,134.4309844970703,250.92715454101562,395.1890563964844,122.72042846679688,51.929954528808594
2021-06-18,127.2833023071289,164.92999267578125,141.53814697265625,131.0294952392578,249.51332092285156,389.85784912109375,125.02830505371094,50.59799575805664
2021-06-21,129.0784912109375,166.9499969482422,143.16339111328125,133.2528839111328,252.59104919433594,395.43902587890625,122.93489074707031,52.432586669921875
2021-06-22,130.71759033203125,166.25,142.97117614746094,133.05801391601562,255.36105346679688,397.5531005859375,123.23514556884766,53.437843322753906
2021-06-23,130.4444122314453,166.13999938964844,142.10617065429688,133.86410522460938,255.13014221191406,397.0739440917969,122.91777038574219,53.83156204223633
2021-06-24,130.1614227294922,166.0399932861328,142.7527313232422,135.0953826904297,256.4958801269531,399.4229736328125,123.11504364013672,54.04936981201172
2021-06-25,129.8687744140625,166.58999633789062,143.48675537109375,136.4595184326172,254.88967895507812,400.8417053222656,121.83674621582031,54.16665267944336
2021-06-28,131.49807739257812,166.5800018310547,143.32069396972656,136.70758056640625,258.4482421875,401.6497497558594,123.08930206298828,52.784420013427734
2021-06-29,133.0103759765625,164.8300018310547,143.32945251464844,136.5392608642578,261.0258483886719,401.8659362792969,123.2951889038086,52.45770263671875
2021-06-30,133.625,165.6300048828125,143.94984436035156,137.77938842773438,260.544921875,402.2042236328125,123.84430694580078,52.84305953979492
2021-07-01,133.927490234375,166.1999969482422,145.0159149169922,139.14352416992188,261.2182312011719,404.43096923828125,123.85118103027344,52.99385070800781
2021-07-02,136.55198669433594,167.2899932861328,147.65476989746094,139.00991821289062,267.0369873046875,407.5223083496094,124.59857940673828,52.918453216552734
2021-07-06,138.56185913085938,168.1199951171875,146.772216796875,136.6757049560547,267.04656982421875,406.77996826171875,126.0589828491211,51.410579681396484
2021-07-07,141.04971313476562,168.75999450683594,148.03050231933594,136.83604431152344,269.2298278808594,408.217529296875,127.17575073242188,50.606361389160156
2021-07-08,139.75210571289062,168.64999389648438,147.74215698242188,134.4751434326172,266.81573486328125,404.8914489746094,127.67395782470703,50.38017272949219
2021-07-09,141.57656860351562,169.2100067138672,148.3275604248047,138.7782745361328,267.3157958984375,409.2135009765625,125.87855529785156,51.29328536987305
2021-07-12,140.98141479492188,169.0,148.09164428710938,140.7650146484375,266.7195129394531,410.6793518066406,125.71531677246094,51.24302291870117
2021-07-13,142.0936737060547,169.22000122070312,147.90817260742188,138.6713409423828,270.23968505859375,409.2792663574219,124.75325012207031,51.000091552734375
2021-07-14,145.51820373535156,171.0399932861328,148.9130096435547,138.1991729736328,271.711181640625,409.8901062011719,126.17060852050781,49.869171142578125
2021-07-15,144.864501953125,171.07000732421875,147.1217498779297,138.50209045410156,270.2877197265625,408.4900817871094,127.56234741210938,49.38330078125
2021-07-16,142.82537841796875,169.41000366210938,146.88583374023438,135.33932495117188,270.0184020996094,405.2860107421875,127.32183074951172,48.017822265625
2021-07-19,138.98135375976562,169.61000061035156,145.81979370117188,130.93820190429688,266.42138671875,399.30078125,130.11380004882812,46.36751937866211
2021-07-20,142.5912322998047,169.38999938964844,147.19163513183594,133.37930297851562,268.64306640625,405.02288818359375,128.85951232910156,46.8785285949707
2021-07-21,141.8594970703125,168.75999450683594,148.1004180908203,136.18568420410156,270.6435852050781,408.3021545410156,127.22734069824219,48.386417388916016
2021-07-22,143.2254180908203,169.08999633789062,148.52853393554688,134.46624755859375,275.20245361328125,409.1571350097656,128.4300079345703,47.841896057128906
2021-07-23,144.94253540039062,168.55999755859375,150.11012268066406,134.20785522460938,278.59747314453125,413.3665771484375,127.5709228515625,47.78327560424805
2021-07-26,145.362060546875,168.16000366210938,150.1800537109375,135.10768127441406,278.0011291503906,414.38134765625,127.19296264648438,48.98957061767578
2021-07-27,143.1961212158203,168.44000244140625,150.87034606933594,134.92950439453125,275.5870666503906,412.4927978515625,128.55029296875,48.4450569152832
2021-07-28,141.44972229003906,169.2899932861328,150.45091247558594,135.15223693847656,275.2793884277344,412.32366943359375,128.55885314941406,48.771766662597656
2021-07-29,142.0936737060547,171.1699981689453,150.45091247558594,136.31039428710938,275.5486145019531,414.03369140625,127.84585571289062,49.366546630859375
2021-07-30,142.3082733154297,169.82000732421875,150.46839904785156,135.2235107421875,274.0193786621094,412.02294921875,128.4471893310547,48.22724533081055
2021-08-02,141.97659301757812,169.61000061035156,150.5295867919922,134.68002319335938,273.9328918457031,411.15850830078125,129.59280395507812,48.235633850097656
2021-08-03,143.77175903320312,169.49000549316406,152.38201904296875,136.21243286132812,276.1449279785156,414.50347900390625,129.66156005859375,48.7550163269043
2021-08-04,143.37176513671875,169.52999877929688,151.48202514648438,134.74241638183594,275.5583190917969,412.4645690917969,129.92825317382812,47.61572265625
2021-08-05,143.4790802001953,168.86000061035156,151.7703857421875,136.44406127929688,278.453125,415.07666015625,129.2659912109375,47.91729736328125
2021-08-06,142.79510498046875,164.63999938964844,151.2635498046875,140.31951904296875,278.3954772949219,415.76251220703125,127.10717010498047,48.470184326171875
2021-08-09,142.7462615966797,161.72000122070312,151.787841796875,140.16810607910156,277.30865478515625,415.42425537109375,126.65122985839844,47.91729736328125
2021-08-10,142.2674560546875,161.77000427246094,151.84031677246094,141.88755798339844,275.4909362792969,415.9410400390625,126.06636047363281,48.73824691772461
2021-08-11,142.52149963378906,164.0,151.8665008544922,143.58033752441406,275.98150634765625,416.974609375,125.989013671875,48.88067626953125
2021-08-12,145.48216247558594,164.0399932861328,153.0897979736328,144.14157104492188,278.73211669921875,418.2242431640625,125.78258514404297,48.77012252807617
2021-08-13,145.68739318847656,166.38999938964844,154.0072784423828,142.529052734375,281.65582275390625,418.98541259765625,127.76939392089844,48.276885986328125
2021-08-16,147.66114807128906,167.22000122070312,155.3966827392578,141.59356689453125,283.33905029296875,419.9720153808594,128.0791015625,47.57106018066406
2021-08-17,146.75242614746094,166.97000122070312,156.82093811035156,139.8830108642578,281.8770751953125,417.2189025878906,128.02748107910156,47.24790954589844
2021-08-18,143.01007080078125,167.10000610351562,154.82864379882812,138.60899353027344,280.15228271484375,412.6524353027344,128.45750427246094,46.25294876098633
2021-08-19,143.34226989746094,166.61000061035156,156.03451538085938,137.4508056640625,285.9725036621094,413.29144287109375,129.40362548828125,44.84129333496094
2021-08-20,144.79820251464844,166.6999969482422,156.7947235107422,137.8428192138672,293.2862854003906,416.5800476074219,129.48965454101562,44.84980392456055
2021-08-23,146.28341674804688,168.72999572753906,156.11788940429688,139.6068115234375,293.5657653808594,420.2444763183594,129.40362548828125,46.69516372680664
2021-08-24,146.19546508789062,168.64999389648438,154.16653442382812,140.47100830078125,291.60968017578125,420.91156005859375,128.3972930908203,47.07783126831055
2021-08-25,144.9642791748047,167.47999572753906,153.14686584472656,143.3665008544922,291.02178955078125,421.7947692871094,127.33072662353516,47.16287612915039
2021-08-26,144.16310119628906,167.6699981689453,152.32940673828125,144.10595703125,288.2080383300781,419.3048095703125,127.68338775634766,46.52507019042969
2021-08-27,145.19882202148438,170.19000244140625,152.00421142578125,145.26416015625,288.815185546875,423.0538635253906,128.5521240234375,47.42649459838867
2021-08-30,149.61534118652344,169.35000610351562,152.6458740234375,142.93885803222656,292.54437255859375,424.9142150878906,128.88755798339844,46.90776062011719
2021-08-31,148.3548583984375,169.69000244140625,152.1800079345703,142.5023193359375,290.8965759277344,424.28472900390625,128.01022338867188,46.36351013183594
2021-09-01,149.0193328857422,169.6999969482422,152.71620178222656,142.29737854003906,290.8483581542969,424.51025390625,128.22470092773438,45.725704193115234
2021-09-02,150.13319396972656,169.25,153.7621612548828,142.95668029785156,290.193115234375,425.8162536621094,128.78440856933594,46.8397216796875
2021-09-03,150.7683563232422,171.05999755859375,153.85887145996094,142.09249877929688,290.1834411621094,425.712890625,127.61323547363281,46.6611442565918
2021-09-07,153.10365295410156,167.7100067138672,151.468017578125,141.84303283691406,289.2583923339844,424.1907043457031,126.53675079345703,46.389015197753906
